आफ्रिकाखण्डः	Afrika
सेंड विन्सेन्ड ग्रेनदिनेश्च	Saint Vincent og Grenadinene
दस्ता	Sink
न्‍यू हेम्‍पशायर	New Hampshire
सेंट लूसिया	Saint Lucia
लियोनार्दो दा विन्सी	Leonardo da Vinci
सेंट किट्	Saint Kitts og Nevis
जमैका	Jamaica
ग्रेनाडा	Grenada
मासचुसेट्‍स	Massachusetts
ग्वाटेमाला	Guatemala
बहामास	Bahamas
कनेक्टिकट्	Connecticut
अण्टीग्वा	Antigua og Barbuda
हवाई	Hawaii
हांडूरस	Honduras
डोमोनिका	Dominica
डोमोनिकन रिपब्लिक	Den dominikanske republikk
उत्तरध्रुवीयमहासागरः	Nordishavet
एल-साल्वाडोर	El Salvador
ईरान	Iran
इराक्	Irak
अलास्का	Alaska
कोस्टा रीका	Costa Rica
इजराइल	Israel
पानामा	Panama
यमन	Jemen
जार्डन	Jordan
निकारगुवा	Nicaragua
फ्लोरिडा	Florida
किरगिस्थान	Kirgisistan
आरिज़ोना	Arizona
कुवैत	Kuwait
लाओस	Laos
लेबनान	Libanon
ओरेगन्	Oregon
मालाद्वीपः	Maldivene
यूटाह	Utah
गौः	Storfe
मलयेशिया	Malaysia
बर्मा	Myanmar
नेपालदेशः	Nepal
ओमान	Oman
पाकिस्थानम्	Pakistan
कतार	Qatar
टेनिस्-क्रीडा	Tennis
सऊदी अरब	Saudi-Arabia
श्रीलङ्का	Sri Lanka
जोसेफ़ स्टालिन	Josef Stalin
सिरिया	Syria
प्लातोन्	Platon
गालियम्	Gallium
ताजिकिस्थान	Tadsjikistan
तैवान	Republikken Kina
अरिस्टाटल्	Aristoteles
थैलेण्ड्	Thailand
रेडियो	Radio
तुर्कमिनिस्थान	Turkmenistan
चम्पादेश	Vietnam
दक्षिणकोरिया	Sør-Korea
द सिम्प्सन्स्	Simpsons
अफगानिस्तान्	Afghanistan
सुवर्णम्	Gull
बाङ्गलादेशः	Bangladesh
माली	Mali
सुकरात	Sokrates
अङ्गोला	Angola
ब्रूनै	Brunei
टंजानिया	Tanzania
कलिंगद्वीप	Filippinene
केन्द्रीय अफ्रीका गणराज्यम्	Den sentralafrikanske republikk
ऐसाक् न्यूटन्	Isaac Newton
अल्बर्ट् ऐन्स्टायिन्	Albert Einstein
पीत	Gul
टोगो	Togo
टुनिशिया	Tunisia
जोह्न बार्डीन	John Bardeen
जाम्बिया	Zambia
जिम्बाबवे	Zimbabwe
बीजिङ्ग्	Beijing
बेनिन्	Benin
बोत्सवाना	Botswana
बुर्कीना-फासो	Burkina Faso
बुरुंडी	Burundi
कोमोरोस	Komorene
कांगो गणराज्यम्	Den demokratiske republikken Kongo
जिबूटी	Djibouti
इरीट्रिया	Eritrea
नवदेहली	New Delhi
गाबोन	Gabon
महात्मा गान्धी	Mahatma Gandhi
गाम्बिया	Gambia
गिनी	Guinea
गिनी-बिसो	Guinea-Bissau
कोट ऐवरी (ऐवरी कोस्ट)	Elfenbenskysten
केमेरून	Kamerun
केप वर्डी	Kapp Verde
लेसोथो	Lesotho
लायबीरिया	Liberia
लिबिया	Libya
मडगास्कर	Madagaskar
मलावी	Malawi
मारिटेनिया	Mauritania
मारिषस्	Mauritius
मोराको	Marokko
मोजम्बीक	Mosambik
नमीबिया	Namibia
नीजे	Niger
नैजीरिया	Nigeria
चार्ल्स् डार्विन्	Charles Darwin
रवाण्डा	Rwanda
सेनेगल	Senegal
सेशेल	Seychellene
केरोलस् लीनियस्	Carl von Linné
सियारा-लियोन	Sierra Leone
सोमालिया	Somalia
जवाहरलाल नेहरू	Jawaharlal Nehru
जुलियस कैसर	Julius Cæsar
सूडान	Sudan
स्वाजीलैंड	Swaziland
नरेन्द्र मोदी	Narendra Modi
गुजरातराज्यम्	Gujarat
संयुक्तराष्ट्रसङ्घः	De forente nasjoner
प्राचीनभूगर्भशास्त्रम्	Geologi
अहमदाबाद	Ahmedabad
भूगोल	Geografi
हृदयम्	Hjerte
मस्तिष्कम्	Hjerne
चर्म	Hud
रुथेनियम	Ruthenium
नीलः	Blå
रजतम्	Sølv
बङ्गम्	Tinn (grunnstoff)
यूरानियम	Uran
अयोडिन्	Jod
इन्दिरा गान्धी	Indira Gandhi
जामनगरम्	Jamnagar
मुम्बई	Mumbai
आन्ध्रप्रदेशराज्यम्	Andhra Pradesh
अरुणाचलप्रदेशराज्यम्	Arunachal Pradesh
असमराज्यम्	Assam
बिहारराज्यम्	Bihar
मिशिगन	Michigan
छत्तीसगढराज्यम्	Chhattisgarh
गोवाराज्यम्	Goa
हरियाणाराज्यम्	Haryana
हिमाचलप्रदेशराज्यम्	Himachal Pradesh
जम्मूकाश्मीरराज्यम्	Jammu og Kashmir
झारखण्डराज्यम्	Jharkhand
कर्णाटकराज्यम्	Karnataka
केरळराज्यम्	Kerala
मध्यप्रदेशराज्यम्	Madhya Pradesh
उसैन् बोल्ट्	Usain Bolt
महाराष्ट्रराज्यम्	Maharashtra
मणिपुरराज्यम्	Manipur
मेघालयराज्यम्	Meghalaya
इलिनाई	Illinois
नार्थ डेकोटा	Nord-Dakota
दक्षिण डकोटा	Sør-Dakota
मान्‍टाना	Montana
वायोमिङ्	Wyoming
ऐडहो	Idaho
वाशिङ्टन्	Washington
नेवाडा	Nevada
हिन्दुमहासागरः	Indiahavet
कोलोराडो	Colorado
वर्गः:विषयसर्वस्वम्	Kategori:Kategorier
शिशिरः	Vinter
वसन्तः	Vår
सद्दाम हुसेन्	Saddam Hussein
ओसामा बिन् लाडेन्	Osama bin Laden
स्पैनिश भाषा	Spansk
कोलकाता	Kolkata
चेन्नै	Chennai
देहली	Delhi
ढाका	Dhaka
बेङ्गळूरु	Bangalore
पश्चिमवङ्गराज्यम्	Vest-Bengal
हैदराबाद्-नगरम्, भारतम्	Hyderabad
त्रिपुराराज्यम्	Tripura
फलानि	Frukt
धनम्	Penger
वर्जिनिया	Virginia
वेस्‍ट वर्जिनिया	Vest-Virginia
न्यू यार्क्	New York (delstat)
सेरियम्	Cerium
रोड ऐलैंड	Rhode Island
जन्तुः	Insekter
मेरील्यान्ड्	Maryland
डेलावेर्	Delaware
व्लाडिमिर लेनिन	Vladimir Lenin
युरोपियम	Europium
ओहायो	Ohio
पेन्‍सिल्‍वेनिया	Pennsylvania
ऊएतेर्सेन्	Uetersen
आगस्टस कैसर	Augustus
न्‍यू जर्सी	New Jersey
इन्डियाना	Indiana
नोकिया	Nokia (selskap)
जार्जिया (अमेरिका देशस्य प्रदेशः)	Georgia (USA)
राजस्थानराज्यम्	Rajasthan
टेक्सास्	Texas
तमिळनाडुराज्यम्	Tamil Nadu
नार्थ केरोलैना	Nord-Carolina
साउथ केरोलैना	Sør-Carolina
टोक्यो	Tokyo
मिसिसिपी	Mississippi
उत्तरप्रदेशराज्यम्	Uttar Pradesh
उत्तराखण्डराज्यम्	Uttarakhand
मिजोरामराज्यम्	Mizoram
सिक्किमराज्यम्	Sikkim
टेनेसी	Tennessee
नागपुरम्	Nagpur
न्‍यू मेक्‍सिको	New Mexico
मिनेसोटा	Minnesota
समन्वितसार्वत्रिकसमयः	UTC
विस्कान्सिन्	Wisconsin
पुण्यपट्टनम्	Pune
अयोवा	Iowa
नेब्रास्‍का	Nebraska
केन्‍सास	Kansas
हिन्दीभाषा	Hindi
मराठीभाषा	Marathi
गणेशः	Ganesha
मिसूरी	Missouri
लूइसियाना	Louisiana
नागाल्याण्डराज्यम्	Nagaland
केन्‍टकी	Kentucky
अर्कान्स	Arkansas
ओक्‍लाहोमा	Oklahoma
अपातकन्दुक	Volleyball
कोपनहागन	København
कोच्ची	Kochi (India)
प्रोमेथियम	Promethium
हनोई	Hanoi
आङ्ग्लभाषा	Engelsk
अमेरिसियम	Americium
कान्सेप्सियान् (चिले)	Concepción
कालिफोर्नियम	Californium
मेन्डेलेभियम	Mendelevium
पाटरीस एव्रा	Patrice Evra
येरेवान	Jerevan
२०१२	2012
२०११	2011
२०१०	2010
१९००	1900
१९०१	1901
चार्ल्स द गॉल	Charles de Gaulle
१९०२	1902
१९०३	1903
१९०४	1904
१९०५	1905
१९०६	1906
१९०८	1908
आहारः	Mat
सर्पः	Slanger
ज्याक शिराक	Jacques Chirac
जनवरी १	1. januar
जनवरी २	2. januar
अरुणस्य उपग्रहाः	Uranus' måner
नेताजी सुभाषचन्द्र बोस	Subhas Chandra Bose
विद्युदणुः	Elektron
बर्मिङ्घम्	Birmingham
जनवरी १७	17. januar
जनवरी १८	18. januar
जनवरी १९	19. januar
जनवरी २०	20. januar
माइक्रोसाफ्ट्	Microsoft
दिसम्बर ९	9. desember
रसतन्त्रम्	Kjemi
२७	27
कैसर विल्हेम द्वितीय (जर्मनी)	Vilhelm II av Tyskland
जुलाई १०	20. juli
मद्रिद्	Madrid
दिसम्बर ३१	31. desember
अक्टोबर् ९	9. oktober
नवम्बर १३	13. november
नवम्बर २९	29. november
नवम्बर २६	26. november
नवम्बर २३	23. november
नवम्बर २४	24. november
कन्याः	Jente
काठ्माण्डू	Katmandu
शार्लेमन्य	Karl den store
केनबरा	Canberra
सिड्नि	Sydney
हरितः	Grønn
रक्तः	Rød
पृथिव्याः वायुमण्डलम्	Jordens atmosfære
अम्ब्रिअल (उपग्रहः)	Umbriel (måne)
नील्-नदी	Nilen
धूमकेतुः	Komet
तरुमा नगर	Jakarta
वर्गः:विकिपीडियाफलकानां वर्गाः	Kategori:Maler
यवद्वीप	Java (øy)
वर्गः:विकिपीडिया फलकम् वर्गाः	Kategori:Maler etter tema
ऍमज़ॉन नदी	Amazonas
पटलानम्	Bordtennis
विकिपीडिया:प्रयोगपृष्ठम्	Wikipedia:Sandkasse
विकिपीडिया:स्वागतम्	Wikipedia:Introduksjon
नदी	Elv
ग्लास्गो	Glasgow
सुन्दरवनराष्ट्रियोद्यानम्	Sundarbans
राजीवगान्धिः	Rajiv Gandhi
कॉर्बीन ब्लेऊ	Corbin Bleu
सुरत	Surat
वर्गः:भारतस्य इतिहासः	Kategori:Indias historie
मोहम्मदमुर्शी	Mohammed Mursi
बाली	Bali
१४८८	1488
क्रैस्तमतम्	Kristendom
१००४	1004
भागीरथी	Ganges
तण्डुलाः	Ris
महाद्वीपाः	Kontinent
पक्षिणः	Fugler
गुजरातीभाषा	Gujarati
पुर्तगाली भाषा	Portugisisk
मासाः	Måned
मुस्ताफ़ा केमल्	Mustafa Kemal Atatürk
सियानफ़ां हुआंग	Huang Xian-fan
१२००	1200
१२०१	1201
१२०२	1202
१२०३	1203
१२०४	1204
१२०५	1205
१२०६	1206
१२०७	1207
१२०८	1208
१२०९	1209
१२१०	1210
१२११	1211
१२१२	1212
१२१३	1213
हिप्पाक्रटीस्	Hippokrates
वज्रम्	Diamant
बिल गेट्स	Bill Gates
जापानी भाषा	Japansk
विश्वकोशः	Encyklopedi
मुख्यपृष्ठम्	Portal:Forside
१२१४	1214
१२१५	1215
बास्केट्बाल्-क्रीडा	Basketball
१२१६	1216
क्रिकेट्-क्रीडा	Cricket
गोल्फ्-क्रीडा	Golf
१२१७	1217
१२१८	1218
१२१९	1219
बीजिङ्ग्-ओलिम्पिक्-क्रीडोत्सवः	Olympiske leker
१२२०	1220
१२२१	1221
१२२२	1222
१२२३	1223
१२२४	1224
१२२५	1225
१२२६	1226
१२२७	1227
१२२८	1228
१२२९	1229
१२३०	1230
१२३१	1231
१२३२	1232
१२३३	1233
१२३४	1234
१२३५	1235
१२३६	1236
१२३७	1237
१२३८	1238
१२३९	1239
१२४०	1240
१२४१	1241
१२४२	1242
१२४३	1243
१२४४	1244
१२४५	1245
१२४६	1246
हिमालयः	Himalaya
आण्डिस्	Andes
बार्ट सिम्प्सन	Bart Simpson
१२४७	1247
१२४८	1248
१२४९	1249
१२५०	1250
१२५१	1251
१२५२	1252
१२५३	1253
१२५४	1254
१२५५	1255
१२५६	1256
१२५७	1257
१२५८	1258
१२५९	1259
१२६०	1260
१२६१	1261
१२६२	1262
१२६३	1263
१२६४	1264
१२६५	1265
१२६६	1266
१२६७	1267
१२६८	1268
१२६९	1269
१२७०	1270
१२७१	1271
१२७२	1272
१२७३	1273
१२७४	1274
१२७५	1275
१२७६	1276
१२७७	1277
१२७८	1278
१२७९	1279
१२८०	1280
१२८१	1281
१२८२	1282
१२८३	1283
१२८४	1284
१२८५	1285
१२८६	1286
१२८७	1287
१२८८	1288
१२८९	1289
१२९०	1290
१२९१	1291
१२९२	1292
१२९३	1293
१२९४	1294
१२९५	1295
१२९६	1296
१२९७	1297
१२९८	1298
१२९९	1299
१३००	1300
१३०१	1301
१३०२	1302
१३०३	1303
१३०४	1304
१३०५	1305
जार्ज बैरन	Lord Byron
१३०६	1306
१३०७	1307
१३०८	1308
१३०९	1309
१३१०	1310
१३११	1311
१३१२	1312
१३१३	1313
१३१४	1314
१३१५	1315
१३१६	1316
१३१७	1317
१३१८	1318
१३१९	1319
१३२०	1320
१३२१	1321
१३२२	1322
१३२३	1323
१३२४	1324
१३२५	1325
१३२६	1326
१३२७	1327
१३२८	1328
चे ग्वेएरा	Che Guevara
नोवाक् जोकोविक्	Novak Đoković
माओ त्से-तुंग	Mao Zedong
लिजा सिम्प्सन	Lisa Simpson
जोहान वुल्फगांग गेटे	Johann Wolfgang von Goethe
योनिः	Vagina
तमिऴ्	Tamilsk
तत्त्वज्ञानम्	Filosofi
१३२९	1329
१३३०	1330
१३३१	1331
१३३२	1332
१३३३	1333
१३३४	1334
१३३५	1335
१३३६	1336
१३३७	1337
१३३८	1338
१३३९	1339
१३४०	1340
१३४१	1341
१३४२	1342
१३४३	1343
१३४४	1344
१३४५	1345
१३४६	1346
१३४७	1347
१३४८	1348
१३४९	1349
१३५०	1350
चायम्	Te
१३५१	1351
हेबे कामार्हो	Hebe Camargo
पोर्टलण्ड्	Portland
१४००	1400
१४०१	1401
१३५२	1352
१४०२	1402
१३५३	1353
१४०३	1403
१३५४	1354
१४०४	1404
१३५५	1355
१४०५	1405
१५००	1500
१४०६	1406
१३५६	1356
१५०१	1501
१४०७	1407
१३५७	1357
१५०२	1502
१४०८	1408
१३५८	1358
१५०३	1503
१३५९	1359
१४०९	1409
१५०४	1504
१३६०	1360
१४१०	1410
१५०५	1505
१५०६	1506
१४११	1411
१३६१	1361
१५०७	1507
१४१२	1412
१३६२	1362
१४१३	1413
१३६३	1363
१५०९	1509
१४१४	1414
१५१०	1510
१४१५	1415
१३६४	1364
१५११	1511
१४१६	1416
१३६५	1365
१५१२	1512
१४१७	1417
१३६६	1366
१५१३	1513
१४१८	1418
१३६७	1367
१५१४	1514
१४१९	1419
१३६८	1368
१५१५	1515
१४२०	1420
१३६९	1369
१५१६	1516
१४२१	1421
१३७०	1370
१३७१	1371
१३७२	1372
१३७३	1373
१४२२	1422
१५१७	1517
१४२३	1423
१५१८	1518
१३७४	1374
१४२४	1424
१३७५	1375
१५१९	1519
१३७६	1376
१४२५	1425
१५२०	1520
१५२१	1521
१३७७	1377
१४२६	1426
१५२२	1522
१५२३	1523
१४२७	1427
१३७८	1378
१५२४	1524
१५२५	1525
१४२८	1428
१३७९	1379
१५२६	1526
१४२९	1429
१३८०	1380
१३८१	1381
१३८२	1382
१३८३	1383
१४३०	1430
१४३१	1431
इन्डियानापोलिस्	Indianapolis
१३८४	1384
१४३२	1432
१३८५	1385
१३८६	1386
१४३३	1433
१३८७	1387
१४३४	1434
१४३५	1435
१३८८	1388
१४३६	1436
१३८९	1389
१४३७	1437
१३९०	1390
१४३८	1438
१३९१	1391
१४३९	1439
१३९२	1392
१४४०	1440
१३९३	1393
१३९४	1394
१३९५	1395
१४४१	1441
१३९६	1396
१३९७	1397
१४४२	1442
१५२७	1527
१५२८	1528
१३९८	1398
१४४३	1443
१४४४	1444
१५२९	1529
१३९९	1399
१४४५	1445
बोयिङ्ग् ७८७	Boeing 787
१५३०	1530
१४४६	1446
१५३१	1531
१४४७	1447
१५३२	1532
१४४८	1448
१५३३	1533
१४४९	1449
१५३४	1534
१४५०	1450
१५३५	1535
१४५१	1451
१५३६	1536
१४५२	1452
१५३७	1537
१४५३	1453
१५३८	1538
१४५४	1454
१५३९	1539
१४५५	1455
१५४०	1540
१५४१	1541
१४५६	1456
१४५७	1457
१५४२	1542
१४५८	1458
१५४३	1543
१४५९	1459
१५४४	1544
१४६०	1460
१५४५	1545
१४६१	1461
१५४६	1546
गुंटर ग्रास	Günter Grass
१४६२	1462
१५४७	1547
१४६३	1463
१५४८	1548
१४६४	1464
१५४९	1549
१४६५	1465
१५५०	1550
१४६६	1466
१५५१	1551
१४६७	1467
१४६८	1468
१५५२	1552
१४६९	1469
१५५३	1553
१४७०	1470
१५५४	1554
१४७१	1471
१५५५	1555
सहारा	Sahara
१४७२	1472
१५५६	1556
१४७३	1473
१५५७	1557
१४७४	1474
१५५८	1558
गिटार् (वाद्यम्)	Gitar
१४७५	1475
१५५९	1559
१४७६	1476
१५६०	1560
१४७७	1477
१४७८	1478
१५६१	1561
१४७९	1479
१५६२	1562
१४८०	1480
१५६३	1563
१४८१	1481
१५६४	1564
१४८२	1482
१५६५	1565
१४८३	1483
१५६६	1566
१४८४	1484
१५६७	1567
१४८५	1485
१४८६	1486
१५६८	1568
१४८७	1487
१५६९	1569
१५७०	1570
१४८९	1489
१५७१	1571
१४९०	1490
१५७२	1572
१४९१	1491
१५७३	1573
१४९२	1492
१५७४	1574
१४९३	1493
१५७५	1575
१४९४	1494
१४९५	1495
१४९६	1496
१५७६	1576
१४९७	1497
१५७७	1577
१४९८	1498
१५७८	1578
१४९९	1499
१५७९	1579
१५८०	1580
१५८१	1581
१५८२	1582
१६००	1600
कार्ल फ्राइडरिक गास	Carl Friedrich Gauss
१६०१	1601
१५८३	1583
१६०२	1602
१५८४	1584
१६०३	1603
१५८५	1585
१६०४	1604
१५८६	1586
१६०५	1605
१५८७	1587
१६०६	1606
१६०७	1607
१५८८	1588
१६०८	1608
१५८९	1589
१६०९	1609
१५९०	1590
१६१०	1610
१५९१	1591
१६११	1611
१५९२	1592
१६१२	1612
१५९३	1593
१६१३	1613
१५९४	1594
१६१४	1614
१५९५	1595
१६१५	1615
१५९६	1596
१६१६	1616
१५९७	1597
१६१७	1617
१५९८	1598
१६१८	1618
१५९९	1599
१६१९	1619
१६२०	1620
१६२१	1621
१७००	1700
१७०१	1701
१६२२	1622
१६२३	1623
१७०२	1702
१६२४	1624
१७०३	1703
१७०४	1704
१६२५	1625
UTC+५:३०	UTC+05.30
१७०५	1705
१६२६	1626
१६२७	1627
१७०६	1706
१६२८	1628
१७०७	1707
१७०८	1708
१६२९	1629
१६३०	1630
१७०९	1709
१६३१	1631
१७१०	1710
अमूर	Amur
१६३२	1632
१७११	1711
अन्ताराष्ट्रीय-खगोलीय-सङ्घः	Den internasjonale astronomiske union
१६३३	1633
१७१२	1712
१६३४	1634
१७१३	1713
१८००	1800
१८०१	1801
१७१४	1714
१६३५	1635
१८०२	1802
१७१५	1715
१६३६	1636
१८०३	1803
१६३७	1637
१७१६	1716
१६३८	1638
१८०४	1804
१७१७	1717
१६३९	1639
१८०५	1805
१७१८	1718
१६४०	1640
१७१९	1719
१८०६	1806
१६४१	1641
१७२०	1720
१८०७	1807
१६४२	1642
१७२१	1721
१८०८	1808
१६४३	1643
१७२२	1722
१८०९	1809
१६४४	1644
१७२३	1723
१८१०	1810
१६४५	1645
१७२४	1724
१८११	1811
१६४६	1646
१७२५	1725
१८१२	1812
१६४७	1647
१७२६	1726
१८१३	1813
१६४८	1648
१७२७	1727
१८१४	1814
१६४९	1649
१७२८	1728
१८१५	1815
१६५०	1650
१७२९	1729
१८१६	1816
१६५१	1651
१७३०	1730
१८१७	1817
१६५२	1652
१७३१	1731
१८१८	1818
१६५३	1653
१७३२	1732
१८१९	1819
१६५४	1654
१७३३	1733
१८२०	1820
१६५५	1655
१८२१	1821
१७३४	1734
१६५६	1656
१८२२	1822
१७३५	1735
१६५७	1657
१८२३	1823
१७३६	1736
१६५८	1658
१७३७	1737
१८२४	1824
१६५९	1659
१७३८	1738
१८२५	1825
१६६०	1660
१७३९	1739
१८२६	1826
१६६१	1661
१७४०	1740
१८२७	1827
कालिदासः	Kālidāsa
नील्स बोह्र	Niels Bohr
परिसरविज्ञानम्	Økologi
राजनीतिः	Politikk
प्रजातन्त्रम्	Demokrati
विश्व रेड्क्रास दिनम्	Røde Kors
मेरी क्यूरी	Marie Curie
नोबेल् प्रशस्तिः	Nobelprisen
एलिजबेथ् प्रथमा	Elisabeth I av England
रोजा लक्जेम्बर्ग	Rosa Luxemburg
रवीन्द्रनाथ ठाकुरः	Rabindranath Tagore
एलेन ट्यूरिंग	Alan Turing
बाड्मिण्टन्-क्रीडा	Badminton
गुस्तावः मालेरः	Gustav Mahler
नात्सी पार्टी	Nationalsozialistische Deutsche Arbeiterpartei
सिन्धूनदी	Indus
दक्षिणध्रुवीयमहासागरः	Sørishavet
हुआंग हे नदी	Den gule flod
कर्णः	Øre
नासिका	Nese
अक्षि	Øye
एल्फ़्रेड हिचकॉक	Alfred Hitchcock
सस्तनः	Pattedyr
गजः	Elefanter
आण्ड्रे अगास्सि	Andre Agassi
डच भाषा	Nederlandsk
मार्गरेट थाचर	Margaret Thatcher
